"Schnall Condition","Schnall Moral judgment","Johnson Condition","Johnson Moral judgment"
"neutral priming",7.83,"clean priming",7.5
"clean priming",6.17,"clean priming",7.5
"neutral priming",4.67,"clean priming",8.17
"clean priming",4.5,"clean priming",6.33
"neutral priming",7.67,"clean priming",7.83
"clean priming",5.17,"neutral priming",6.83
"clean priming",3.83,"clean priming",6.5
"neutral priming",7.67,"clean priming",7.83
"neutral priming",7.67,"neutral priming",8.33
"clean priming",4.5,"clean priming",6.5
"neutral priming",6,"neutral priming",7.67
"clean priming",5.17,"clean priming",6.67
"neutral priming",7,"clean priming",6.83
"clean priming",6.17,"clean priming",5.17
"neutral priming",4.33,"neutral priming",7.83
"clean priming",3.17,"neutral priming",6.83
"neutral priming",4,"clean priming",7
"neutral priming",6.67,"neutral priming",4.17
"clean priming",7.17,"neutral priming",6.17
"neutral priming",6.83,"clean priming",4
"clean priming",4.5,"clean priming",6.17
"clean priming",5.67,"neutral priming",7.17
"neutral priming",5.17,"clean priming",7.5
"clean priming",4.17,"neutral priming",6.5
"neutral priming",5.33,"clean priming",6.33
"neutral priming",4.83,"neutral priming",5.83
"clean priming",4.83,"clean priming",5.83
"clean priming",4.67,"clean priming",8.67
"clean priming",5.83,"neutral priming",6.17
"neutral priming",6.17,"clean priming",6.5
"neutral priming",7,"clean priming",6.17
"clean priming",5.83,"clean priming",2.5
"neutral priming",4.67,"neutral priming",5.5
"clean priming",5.5,"neutral priming",5.83
"neutral priming",5.17,"clean priming",6.33
"clean priming",6.5,"neutral priming",7
"neutral priming",5,"clean priming",3.5
"neutral priming",2.5,"clean priming",8
"clean priming",4.83,"neutral priming",5.5
"clean priming",1.5,"neutral priming",7.5
NA,NA,"clean priming",7.17
NA,NA,"clean priming",6.33
NA,NA,"clean priming",7
NA,NA,"neutral priming",5.33
NA,NA,"clean priming",6
NA,NA,"clean priming",4.83
NA,NA,"clean priming",6.5
NA,NA,"neutral priming",5.33
NA,NA,"clean priming",8.67
NA,NA,"neutral priming",4.17
NA,NA,"neutral priming",6.5
NA,NA,"neutral priming",5.67
NA,NA,"neutral priming",5
NA,NA,"clean priming",4.33
NA,NA,"clean priming",5.5
NA,NA,"neutral priming",6.5
NA,NA,"clean priming",7.5
NA,NA,"clean priming",7.33
NA,NA,"clean priming",7
NA,NA,"neutral priming",7.83
NA,NA,"neutral priming",7.83
NA,NA,"clean priming",7.67
NA,NA,"clean priming",6.33
NA,NA,"clean priming",4.83
NA,NA,"neutral priming",5.67
NA,NA,"neutral priming",7.33
NA,NA,"clean priming",7.17
NA,NA,"neutral priming",7.83
NA,NA,"neutral priming",6.5
NA,NA,"neutral priming",6.17
NA,NA,"clean priming",6.5
NA,NA,"clean priming",7.17
NA,NA,"clean priming",6
NA,NA,"neutral priming",7.5
NA,NA,"clean priming",5.33
NA,NA,"clean priming",6
NA,NA,"neutral priming",8.17
NA,NA,"neutral priming",6.67
NA,NA,"neutral priming",6.83
NA,NA,"neutral priming",5.33
NA,NA,"neutral priming",5.33
NA,NA,"clean priming",8
NA,NA,"neutral priming",4.67
NA,NA,"clean priming",5
NA,NA,"clean priming",4.33
NA,NA,"clean priming",6.67
NA,NA,"clean priming",7
NA,NA,"clean priming",6.5
NA,NA,"clean priming",6.17
NA,NA,"neutral priming",6.83
NA,NA,"neutral priming",7
NA,NA,"clean priming",7.33
NA,NA,"neutral priming",7
NA,NA,"neutral priming",4.33
NA,NA,"neutral priming",6.33
NA,NA,"neutral priming",7.17
NA,NA,"clean priming",4.67
NA,NA,"clean priming",5.67
NA,NA,"neutral priming",6.5
NA,NA,"clean priming",7
NA,NA,"neutral priming",8.83
NA,NA,"clean priming",8.17
NA,NA,"clean priming",6.83
NA,NA,"clean priming",6.83
NA,NA,"neutral priming",6.5
NA,NA,"clean priming",6.67
NA,NA,"neutral priming",6.83
NA,NA,"clean priming",4.83
NA,NA,"neutral priming",7.33
NA,NA,"neutral priming",6.17
NA,NA,"neutral priming",5.5
NA,NA,"clean priming",7
NA,NA,"neutral priming",6.83
NA,NA,"clean priming",9
NA,NA,"clean priming",5.67
NA,NA,"neutral priming",4.5
NA,NA,"neutral priming",6.33
NA,NA,"clean priming",4.67
NA,NA,"neutral priming",7.67
NA,NA,"clean priming",7
NA,NA,"clean priming",6.67
NA,NA,"neutral priming",7
NA,NA,"clean priming",6.17
NA,NA,"clean priming",5
NA,NA,"clean priming",6.5
NA,NA,"clean priming",6
NA,NA,"neutral priming",7.5
NA,NA,"neutral priming",6.5
NA,NA,"neutral priming",5.67
NA,NA,"clean priming",6
NA,NA,"neutral priming",8
NA,NA,"neutral priming",7.67
NA,NA,"neutral priming",5.5
NA,NA,"clean priming",6.5
NA,NA,"clean priming",6.67
NA,NA,"clean priming",8
NA,NA,"clean priming",6.33
NA,NA,"clean priming",7.33
NA,NA,"neutral priming",3.67
NA,NA,"neutral priming",6.83
NA,NA,"neutral priming",6
NA,NA,"neutral priming",7.33
NA,NA,"clean priming",5.5
NA,NA,"neutral priming",6.67
NA,NA,"clean priming",7
NA,NA,"neutral priming",6
NA,NA,"clean priming",6.5
NA,NA,"neutral priming",5
NA,NA,"neutral priming",7.83
NA,NA,"neutral priming",7.83
NA,NA,"clean priming",7.5
NA,NA,"clean priming",5
NA,NA,"clean priming",7
NA,NA,"neutral priming",4.83
NA,NA,"neutral priming",6
NA,NA,"neutral priming",8
NA,NA,"clean priming",6.83
NA,NA,"neutral priming",7
NA,NA,"neutral priming",5.33
NA,NA,"clean priming",7.33
NA,NA,"neutral priming",7.67
NA,NA,"neutral priming",4
NA,NA,"clean priming",6.67
NA,NA,"neutral priming",7
NA,NA,"neutral priming",7.83
NA,NA,"neutral priming",7
NA,NA,"neutral priming",7
NA,NA,"clean priming",6.33
NA,NA,"neutral priming",6.33
NA,NA,"neutral priming",4.67
NA,NA,"clean priming",7
NA,NA,"neutral priming",6.5
NA,NA,"clean priming",6.17
NA,NA,"clean priming",7.33
NA,NA,"neutral priming",7
NA,NA,"neutral priming",7.67
NA,NA,"neutral priming",6.67
NA,NA,"neutral priming",8
NA,NA,"clean priming",7
NA,NA,"neutral priming",6.67
NA,NA,"neutral priming",4.5
NA,NA,"clean priming",7
NA,NA,"neutral priming",8
NA,NA,"neutral priming",6
NA,NA,"clean priming",7.17
NA,NA,"neutral priming",4.67
NA,NA,"clean priming",5.5
NA,NA,"clean priming",6.67
NA,NA,"neutral priming",7.17
NA,NA,"clean priming",7.33
NA,NA,"clean priming",7.5
NA,NA,"neutral priming",7.17
NA,NA,"clean priming",4.5
NA,NA,"clean priming",7.17
NA,NA,"clean priming",6.67
NA,NA,"neutral priming",6.67
NA,NA,"clean priming",7
NA,NA,"clean priming",5.5
NA,NA,"neutral priming",7
NA,NA,"neutral priming",6.83
NA,NA,"clean priming",6.17
NA,NA,"clean priming",7.67
NA,NA,"clean priming",5.33
NA,NA,"clean priming",5
NA,NA,"neutral priming",3.67
NA,NA,"neutral priming",7.67
NA,NA,"neutral priming",6.67
NA,NA,"neutral priming",6.33
